Cluster_ID,Size,Average_Intra_Cluster_Similarity,Organizations
9,53,0.6654494404792786,"Aalto University, Acció - the Catalan Government agency for business competitiveness, Air Liquide, Airbus, Aktantis, Andre REBENTISCH, Anonymous_2, Bavarian Ministry of Economic Affairs Regional Development and Energy, Brabant Development Agency BOM, Centre for a Digital Society at the Robert Schuman Centre for Advanced Studies European University I"
4,27,0.635039210319519,"Adeon Technologies BV, Aerospace Valley, Anonymous_1, Anonymous_8, ASP Equipment GmbH, Cimulec Group, Cistelaier SPA, CNES, CNES_1, DSI Aerospace GmbH"
8,14,0.6203675270080566,"Anonymous_6, Ecole des Mines de Saint-Etienne, FOSSi Foundation, Lace Lithography AS, Leibniz University Hannover, Marek Piechocinski, NCAB GROUP AB, Politecnico di Torino_3, Presto Engineering Group, Tesat"
5,12,0.5308703184127808,"AUMOVIO SE, Austrian Federal Economic Chamber, Finnish Chip Competence Centre, German Association of the Automotive Industry VDA, IQM Quantum Computers, Markus Weber, NOVAPACK TECHNOLOGIES, Photonics Finland, Photonics21 Association, Qualcomm"
3,32,0.5279061198234558,"Aarhus University Department of Electrical  Computer Engineering, AESEMI Asociacion Española de la Industria de Semiconductores, APTE, Axis Communications, CCI Dresden, Didier Theron, Dublin City University, FabCat, FHNW, Fraunhofer IPMS"
2,13,0.5220800042152405,"AFNUM, Anonymous_3, Anonymous_7, CEA, CIMULEC Group_1, CIRLY, Deutsche Industrie- und Handelskammer, Information et défense des consommateurs salariés  Confédération générale du travail, MdL Sächsischer Landtag Parlament des Freistaats Sachsen, Region Skåne"
1,24,0.4914233982563019,"75inQ, ALMAE TECHNOLOGIES SAS, Arm, CERN the European Organization for Nuclear Research, Eindhoven University of Technology, Flexiramics BV, Fraunhofer IZM, GdR SOC2 CNRS, Hellenic Emerging Technologies Industry Association - HETiA, INVENTEC PERFORMANCE CHEMICALS"
0,19,0.48427051305770874,"Andreas KOCH, Anonymous_4, Anonymous_5, ChipsWIN Imagine Microelectronics srl, CONNECT Research Ireland Centre for Future Networks, CSEM, CSEM_1, EVIDEN  Bull SAS, HENSOLDT AG, KDPOF"
7,10,0.373346745967865,"Anonymous, AstroLife Universe is a European strategic project officially validated by national authorities Spai, Dagmar Mištinová, dallco sas, European Quantum Industry Consortium eV QuIC, IDEE ECONOMICHE di MARCO BAVA, Michal Hrasna, MICROLA OPTOELECTRONICS SRL, Politecnico di Torino, Regione Piemonte"
6,4,0.29305920004844666,"Aledia, Forschungszentrum Jülich GmbH, Forschungszentrum Jülich GmbH_1, The Good Lobby HUB Spain"
